CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 503 , , , , , 
SEGUNDO , 1105 , 441 , , , , 
TERCERO , 1549 , 2151 , 665 , , , 
CUARTO , 725 , 903 , 1155 , 270 , , 
QUINTO , 675 , 852 , 1228 , 1882 , 581 , 
SEXTO , 4 , 9 , 13 , 35 , 54 , 11 
