CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 4520 , 5685 , 10205 
SEGUNDO , 4877 , 6863 , 11740 
TERCERO , 6147 , 8639 , 14786 
CUARTO , 3850 , 4695 , 8545 
QUINTO , 5119 , 5139 , 10258 
SEXTO , 233 , 364 , 597 
