TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 10843 
MIN. TRABAJO ASUNTOS SOCIALES , 13 
MINISTERIO ASUNTOS EXTERIORES , 147 
SIN ESPECIFICAR , 1252 
GOBIERNO VASCO , 7 
SÓCRATES ERASMUS (Europa Occ) , 1902 
SÍCUE SÉNECA (Nacional) , 425 
LIBRE INTERCAMBIO (Internac.) , 45 
INTERCAMBIO (Internac.) , 393 
MARRUECOS , 40 
PDI , 0 
PAS , 0 
TOTAL BECARIOS , 15067 
