EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 447 , 795 , 1242 
18 , 1986 , 3308 , 5294 
19 , 2391 , 3795 , 6186 
20 , 3007 , 4128 , 7135 
21 , 3049 , 3920 , 6969 
22 , 2822 , 3631 , 6453 
23 , 2312 , 2870 , 5182 
24 , 1927 , 2071 , 3998 
25 , 1472 , 1455 , 2927 
26 , 1065 , 1129 , 2194 
27 , 882 , 808 , 1690 
28 , 630 , 631 , 1261 
29 , 505 , 480 , 985 
(Y MAS) 30 , 2251 , 2364 , 4615 
TOTALES , 24746 , 31385 , 56131 
MAYORES 28 , 3386 , 3475 , 6861 
