MASTER,HOMBRE,MUJER,TOTAL
Máster Universitario en Patrimonio Musical,21,27,48
Máster Universitario en Prevención de Riesgos Laborales,28,37,65
Máster Universitario en Problemas Sociales. Dirección y Gestión de Programas Sociales,14,22,36
Máster Universitario en Problemas Sociales: Dirección y Gestión de Programas Sociales, ,1,1
Máster Universitario en Producción e Investigación en Arte,16,20,36
"Máster Universitario en Profesorado de Educación Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas",1, ,1
"Máster Universitario en Profesorado de Enseñanza Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomas",378,408,786
"Máster Universitario en Profesorado de Enseñanza Secundaria Obligatoria y Bachillerato, Formación Profesional y Enseñanza de Idiomasdiomas",2, ,2
Máster Universitario en Psicología de la Intervención Social,5,28,33
Máster Universitario en Psicología de la Salud, ,2,2
Máster Universitario en Psicología General Sanitaria,7,24,31
Máster Universitario en Rehabilitación Arquitectónica,16,11,27
Máster Universitario en Seguridad Integral en Edificación ,2,2,4
Máster Universitario en Soft Computing y Sistemas Inteligentes,2,1,3
Máster Universitario en Técnicas Cuantitativas en Gestión Empresarial,6,6,12
Máster Universitario en Técnicas y Ciencias de la Calidad del Agua (IDEA),17,15,32
Máster Universitario en Tecnologías Multimedia,1, ,1
Máster Universitario en Traducción e Interpretación,1,3,4
Máster Universitario en Traducción Profesional,4,14,18
Máster Universitario en Urbanismo,12,6,18
Máster Universitario Erasmus Mundus en Color en la Informática y la Tecnología de los Medios / Erasmus Mundus in Color in Informatics and Media Technology (Cimet),4,2,6
Máster Universitario Erasmus Mundus en Estudios de las Mujeres y de Género,5,77,82
Máster Universitario Erasmus Mundus en Excelencia en Salud Pública Europubhealth, ,7,7
