"Colectivo","Género","0-1","2-3","4-5","6-7","8-9"
"PDI Contrat.","Hombre","4,59","8,04","14,81","14,47","6,89"
"PDI Contrat.","Mujer","3,10","4,13","9,64","9,41","3,56"
"PDI Func.","Hombre","0,57","0,23","1,61","5,40","4,59"
"PDI Func.","Mujer","0,92","0,00","1,38","2,64","4,02"
