CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 648 , , , , , 
SEGUNDO , 1297 , 561 , , , , 
TERCERO , 1041 , 2019 , 1308 , , , 
CUARTO , 149 , 273 , 505 , 426 , , 
QUINTO , 289 , 334 , 614 , 1518 , 642 , 
SEXTO , 0 , 10 , 10 , 16 , 24 , 5 
