CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5171 , 6212 , 11383 
SEGUNDO , 5048 , 6930 , 11978 
TERCERO , 7156 , 9102 , 16258 
CUARTO , 3096 , 4386 , 7482 
QUINTO , 4751 , 5522 , 10273 
SEXTO , 179 , 166 , 345 
