CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 751 , , , , , 
SEGUNDO , 970 , 457 , , , , 
TERCERO , 1207 , 2176 , 1051 , , , 
CUARTO , 104 , 187 , 372 , 369 , , 
QUINTO , 313 , 318 , 623 , 1514 , 662 , 
SEXTO , 1 , 21 , 20 , 39 , 66 , 15 
