"UNIVERSIDAD DE GRANADA","Nº MEDIO DE CRÉDITOS MATRICULADOS","Nº MEDIO DE CRÉDITOS PRESENTADOS","Nº MEDIO DE CRÉDITOS SUPERADOS"
"ARTES Y HUMANIDADES","57,40","50,99","45,21 "
"CIENCIAS","60,13","52,07","39,00 "
"CIENCIAS DE LA SALUD","60,84","57,28","50,95 "
"CIENCIAS SOCIALES Y JURÍDICAS","60,75","56,34","48,80 "
"INGENIERÍA Y ARQUITECTURA","57,73","46,91","34,58 "
"TODAS LAS RAMAS","59,88","54,16","45,91"
