, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 0,0 , 0,0 , 0,0 
SEGUNDO , 0,0 , 0,0 , 0,0 
TERCERO , 0,1 , 0,0 , 0,1 
CUARTO , 0,0 , 0,0 , 0,0 
QUINTO , 0,0 , 0,0 , 0,0 
SEXTO , 0,0 , 0,0 , 0,0 
