CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 0 , 0 , 0 
SEGUNDO , 0 , 0 , 0 
TERCERO , 1 , 0 , 1 
CUARTO , 0 , 0 , 0 
QUINTO , 0 , 0 , 0 
SEXTO , 0 , 0 , 0 
