CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 13036 , , , , , 
SEGUNDO , 10824 , 2900 , , , , 
TERCERO , 7111 , 9446 , 2868 , , , 
CUARTO , 2840 , 2772 , 4019 , 1824 , , 
QUINTO , 2470 , 2720 , 3883 , 7387 , 2394 , 
SEXTO , 19 , 59 , 76 , 86 , 172 , 168 
