EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 503 , 828 , 1331 
18 , 1935 , 3137 , 5072 
19 , 2499 , 4054 , 6553 
20 , 2880 , 4486 , 7366 
21 , 3152 , 4484 , 7636 
22 , 2965 , 4301 , 7266 
23 , 2791 , 3411 , 6202 
24 , 2114 , 2488 , 4602 
25 , 1572 , 1767 , 3339 
26 , 989 , 1198 , 2187 
27 , 824 , 850 , 1674 
28 , 568 , 562 , 1130 
29 , 425 , 401 , 826 
(Y MAS) 30 , 1885 , 1877 , 3762 
TOTALES , 25102 , 33844 , 58946 
MAYORES 28 , 2878 , 2840 , 5718 
