, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4620,717 , 7004,695 , 11624,1412 
SEGUNDO , 3408,2076 , 5611,2629 , 9019,4705 
TERCERO , 2754,3349 , 3804,3530 , 6558,6879 
CUARTO , 1902,1239 , 2613,1636 , 4515,2875 
QUINTO , 2017,2837 , 3242,2791 , 5259,5628 
SEXTO , 89,67 , 167,56 , 256,123 
