CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5337 , 7699 , 13036 
SEGUNDO , 5484 , 8240 , 13724 
TERCERO , 6103 , 7334 , 13437 
CUARTO , 3141 , 4249 , 7390 
QUINTO , 4854 , 6033 , 10887 
SEXTO , 156 , 223 , 379 
