World Rank,University,Total Score,11 Years Articles,Current Articles,11 Years Citations,Current Citations,Ave. Citations,H-Index,HiCi Papers,Hi-Impact Journal Articles
65,Ghent University,58.5,64.6,60.4,61.4,55.1,50.3,52.8,56.6,62.8
66,Wuhan University,58.4,56.4,69.9,47.6,66.3,43.3,69.3,55.7,59.0
67,"University of California, Irvine",58.3,59.8,55.1,63.2,57.0,54.5,62.3,62.2,52.1
67,"Pennsylvania State University, University Park",58.3,60.5,55.1,62.6,53.3,53.6,55.9,64.0,58.2
69,Nanjing University of Science & Technology,58.2,52.1,58.4,51.5,62.5,49.9,62.7,64.0,62.8
69,University of Sheffield,58.2,55.3,54.2,54.0,63.2,50.0,72.4,58.5,60.5
71,Nanjing University,58.1,56.2,62.0,52.6,62.2,48.1,59.3,58.5,63.9
71,Vanderbilt University,58.1,49.0,49.0,56.7,59.0,61.5,65.8,60.3,64.7
73,New York University,57.9,55.3,56.1,56.8,56.9,52.8,58.9,56.6,67.0
74,Delft University of Technology,57.7,63.7,60.9,58.3,58.3,48.6,56.4,53.9,60.5
75,University of Pennsylvania,57.6,56.0,53.7,61.2,53.4,56.3,58.7,63.1,56.3
75,Arizona State University,57.6,60.0,58.1,58.9,54.7,51.1,56.1,56.6,62.8
75,South China University of Technology,57.6,52.2,65.9,46.8,67.1,44.2,69.4,50.2,65.5
75,Tongji University,57.6,53.6,60.8,48.1,71.3,45.0,69.6,54.8,60.9
79,Aalto University,57.5,57.2,62.1,52.2,64.7,47.2,66.2,49.3,63.2
79,Polytechnic University of Catalonia,57.5,71.5,70.7,56.9,59.6,45.2,53.2,50.2,52.4
81,Korea Advanced Institute of Science and Technology,57.3,71.1,67.8,59.3,53.3,46.5,48.9,52.1,56.3
82,Technical University of Munich,57.2,62.0,61.3,60.3,60.6,50.9,59.2,51.1,53.2
83,Polytechnic University of Valencia,57.1,65.2,66.0,57.8,60.3,47.7,53.3,48.4,57.4
84,Seoul National University,56.8,72.8,61.4,56.4,58.0,44.6,56.4,49.3,57.0
