Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
809,Jorge Jose Garces Perez,Ciencias Exactas y Naturales,Matematicas,Analisis Matematico,133,6,129,6,https://scholar.google.com/citations?user=3yHGOOUAAAAJ&hl=es
810,Felix Zurita Ortega,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Expresion Musical Plastica y Corporal,133,7,119,7,https://scholar.google.com/citations?user=dTUhT54AAAAJ&hl=es
811,Carmen Enrique Miron,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,132,6,64,4,https://scholar.google.com/citations?user=_NSneCYAAAAJ&hl=es
812,Antonio Tudela Sancho,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de las Ciencias Sociales,132,5,80,2,https://scholar.google.com/citations?user=e6IdGaoAAAAJ&hl=es
813,Humbelina Robles Ortega,Ciencias de la Salud,Psicologi­a - Salud,"Personalidad, Evaluacion y Tratamiento Psicologico",132,6,100,6,https://scholar.google.com/citations?user=Voht2w8AAAAJ&hl=es
814,Liliana Spanedda,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,131,6,70,3,https://scholar.google.com/citations?user=qpSk9M0AAAAJ&hl=es
815,Gloria Titos Vela,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,129,7,129,7,https://scholar.google.com/citations?user=acfzLUUAAAAJ&hl=es
816,Francisco Torralbo Torralbo,Ciencias Exactas y Naturales,Matematicas,Geometri­a y Topologi­a,129,6,124,6,https://scholar.google.com/citations?user=R1oJj1YAAAAJ&hl=es
817,Jesus Fernandez Domi­nguez,Ciencias Humanas y Artes,Filosofi­a y Letras,Filologi­as Inglesa y Alemana,129,4,108,4,https://scholar.google.com/citations?user=uGsKYp4AAAAJ&hl=es
818,Alberto Megias Robles,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,128,6,128,6,https://scholar.google.com/citations?user=zCHxUucAAAAJ&hl=es
819,Maria Teresa Sanchez Martinez,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Aplicada,127,7,82,5,https://scholar.google.com/citations?user=o3h8QFMAAAAJ&hl=es
