Posicion,Nombre,Rama,Disciplina,Especialidad,Citas,Indice h,Citas (ultimos 5 años),Indice h (ultimos 5 años),Perfil
1,Sergio Navas Concha,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,72567,67,30009,40,https://scholar.google.com/citations?user=MLCUktcAAAAJ&hl=es
2,Juan Antonio Aguilar Saavedra,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,45182,100,41102,96,https://scholar.google.com/citations?user=J3KkU5EAAAAJ&hl=es
3,Francisco Herrera Triguero,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,43378,107,26436,81,https://scholar.google.com/citations?user=HULIk-QAAAAJ&hl=es
4,Enrique Herrera Viedma,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,18016,65,11137,54,https://scholar.google.com/citations?user=g8ZXTuYAAAAJ&hl=es
5,Eduardo Battaner Lopez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,15477,42,14188,38,https://scholar.google.com/citations?user=jCT0G40AAAAJ&hl=es
6,Roberto Pittau,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,12628,43,6450,33,https://scholar.google.com/citations?user=cQp1BYYAAAAJ&hl=es
7,Nicolas Olea Serrano,Ciencias de la Salud,Medicina,Radiologi­a y Medicina Fi­sica,12625,49,5797,36,https://scholar.google.com/citations?user=qnspPMAAAAAJ&hl=es
8,Giuseppe Cultrone,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,11872,23,1294,18,https://scholar.google.com/citations?user=JJqu47cAAAAJ&hl=es
9,Antonio Bolivar Botia,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,11515,53,5970,38,https://scholar.google.com/citations?user=cRwURsQAAAAJ&hl=es
10,Francisco B Ortega Porcel,Ciencias de la Salud,Ciencias del Deporte,Educacion Fi­sica y Deportiva,10978,55,8931,50,https://scholar.google.com/citations?user=jZ1oU8cAAAAJ&hl=es
11,Carlos Moreno Castilla,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,10576,50,5312,34,https://scholar.google.com/citations?user=ynEpCS4AAAAJ&hl=es
12,Jose Luis Verdegay Galdeano,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,10515,45,3944,30,https://scholar.google.com/citations?user=7AjYKlcAAAAJ&hl=es
13,Andrew Stephen Kowalski,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,10115,31,4378,22,https://scholar.google.com/citations?user=UfSFNCsAAAAJ&hl=es
14,Oscar Cordon Garcia,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,9944,48,4320,34,https://scholar.google.com/citations?user=oUmv8xgAAAAJ&hl=es
15,Jonatan Ruiz Ruiz,Ciencias de la Salud,Ciencias del Deporte,Educacion Fi­sica y Deportiva,9807,59,7708,52,https://scholar.google.com/citations?user=G224m6YAAAAJ&hl=es
16,Dario Acuña Castroviejo,Ciencias de la Salud,Medicina,Fisiologi­a,8573,53,4214,38,https://scholar.google.com/citations?user=eXIMfZ0AAAAJ&hl=es
17,Jose Rivera Utrilla,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,8492,47,4739,36,https://scholar.google.com/citations?user=TPyqlgYAAAAJ&hl=es
18,Carmen Batanero Bernabeu,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,8270,46,4875,35,https://scholar.google.com/citations?user=CbJazy4AAAAJ&hl=es
19,Regino Zamora Rodriguez,Ciencias Biologicas,Biologi­a,Ecologi­a,7859,46,4400,38,https://scholar.google.com/citations?user=zsEqa94AAAAJ&hl=es
20,Alberto Fernandez Gutierrez,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,7659,43,5263,37,https://scholar.google.com/citations?user=6cm8HLEAAAAJ&hl=es
21,Antonio Segura Carretero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,7578,44,5452,38,https://scholar.google.com/citations?user=gip_sxsAAAAJ&hl=es
22,Manuel Joaquin Castillo Garzon,Ciencias de la Salud,Medicina,Fisiologi­a,7307,44,5137,38,https://scholar.google.com/citations?user=xXxNCMEAAAAJ&hl=es
23,Juan De Dios Luna Del Castillo,Ciencias Exactas y Naturales,Matematicas,Estadi­stica e Investigacion Operativa,7161,44,3194,27,https://scholar.google.com/citations?user=AxUQXXcAAAAJ&hl=es
24,Juan Diaz Godino,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,7100,45,4070,33,https://scholar.google.com/citations?user=3v9N8IUAAAAJ&hl=es
25,Francisco Del Aguila Gimenez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,6751,48,2192,25,https://scholar.google.com/citations?user=JRT0TsMAAAAJ&hl=es
26,Maria Amparo Vila Miranda,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,6648,41,2251,22,https://scholar.google.com/citations?user=y52L6KMAAAAJ&hl=es
27,Fatima Olea Serrano,Ciencias de la Salud,Farmacia,Nutricion y Bromatologi­a,6527,30,2154,22,https://scholar.google.com/citations?user=ZMC1eooAAAAJ&hl=es
28,Salvador Garcia Lopez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,6217,30,5709,30,https://scholar.google.com/citations?user=vIC06a0AAAAJ&hl=es
29,Germaine Escames Rosa,Ciencias de la Salud,Medicina,Fisiologi­a,6025,47,3126,34,https://scholar.google.com/citations?user=BvIAVW8AAAAJ&hl=es
30,Jose Manuel Sanchez Ruiz,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Fi­sica,5841,41,2187,26,https://scholar.google.com/citations?user=L9m2zcMAAAAJ&hl=es
31,Roque Hidalgo Alvarez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,5660,38,2320,22,https://scholar.google.com/citations?user=xf9mSAEAAAAJ&hl=es
32,Mariana Fatima Fernandez Cabrera,Ciencias de la Salud,Medicina,Radiologi­a y Medicina Fi­sica,5493,34,2986,29,https://scholar.google.com/citations?user=LT2YqhMAAAAJ&hl=es
33,Manuel Lozano Marquez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,5415,26,2801,24,https://scholar.google.com/citations?user=9jzFa4gAAAAJ&hl=es
34,Jose Luis Vilchez Quero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,5406,43,3038,29,https://scholar.google.com/citations?user=9Q_GfdMAAAAJ&hl=es
35,Angel Vicente Delgado Mora,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,5390,36,2701,24,https://scholar.google.com/citations?user=8BlXpUcAAAAJ&hl=es
36,Jorge Castro Gutierrez,Ciencias Biologicas,Biologi­a,Ecologi­a,5347,29,3749,25,https://scholar.google.com/citations?user=d5SEfi0AAAAJ&hl=es
37,Juan Manuel Duarte Perez,Ciencias de la Salud,Farmacia,Farmacologi­a,5277,40,2968,32,https://scholar.google.com/citations?user=rDCMdVwAAAAJ&hl=es
38,Manuel Soler Cruz,Ciencias Biologicas,Biologi­a,Zoologi­a,5154,38,2203,24,https://scholar.google.com/citations?user=_3xrhMAAAAAJ&hl=es
39,Enrique Ruiz Arriola,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",5146,38,2163,25,https://scholar.google.com/citations?user=Yxfx7A8AAAAJ&hl=es
40,Alejandro Fernandez Barrero,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Organica,5127,36,1791,19,https://scholar.google.com/citations?user=glboVXoAAAAJ&hl=es
41,Juan Julian Merelo Guervos,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,5072,27,2179,20,https://scholar.google.com/citations?user=gFxqc64AAAAJ&hl=es
42,Juan Lupiañez Castillo,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,4943,37,3217,32,https://scholar.google.com/citations?user=cBUtlc8AAAAJ&hl=es
43,Juan Carlos Braga Alarcon,Ciencias Exactas y Naturales,Ciencias de la Tierra,Estratigrafi­a y Paleontologi­a,4862,41,2158,25,https://scholar.google.com/citations?user=CE43mqQAAAAJ&hl=es
44,Jose Luis Quiles Morales,Ciencias de la Salud,Farmacia,Fisiologi­a,4790,39,2989,27,https://scholar.google.com/citations?user=NqMDoTUAAAAJ&hl=es
45,Miguel Carlos Moya Morales,Ciencias Sociales y Juri­dicas,Psicologi­a - Sociales,Psicologi­a Social,4782,32,2993,25,https://scholar.google.com/citations?user=b-mfUzEAAAAJ&hl=es
46,Julio Juan Galvez Peralta,Ciencias de la Salud,Farmacia,Farmacologi­a,4705,39,2663,32,https://scholar.google.com/citations?user=u076kysAAAAJ&hl=es
47,Vicente Enrique Caballo Manrique,Ciencias de la Salud,Psicologi­a - Salud,"Personalidad, Evaluacion y Tratamiento Psicologico",4692,34,2400,23,https://scholar.google.com/citations?user=etLNEbcAAAAJ&hl=es
48,Miguel Angel Muñoz Martinez,Ciencias Exactas y Naturales,Fi­sica,Electromagnetismo y Fi­sica de la Materia,4677,35,1901,21,https://scholar.google.com/citations?user=IwZEKqoAAAAJ&hl=es
49,Josefa Leon Lopez,Ciencias de la Salud,Medicina,Fisiologi­a,4657,35,2193,26,https://scholar.google.com/citations?user=Pk0vUowAAAAJ&hl=es
50,Francisco Carrasco Marin,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,4639,33,2454,25,https://scholar.google.com/citations?user=Xg6POw4AAAAJ&hl=es
51,Francisco Gonzalez Lodeiro,Ciencias Exactas y Naturales,Ciencias de la Tierra,Geodinamica,4571,36,1656,25,https://scholar.google.com/citations?user=oszweAYAAAAJ&hl=es
52,Fernando Bea Barredo,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,4566,36,2165,24,https://scholar.google.com/citations?user=xipVmwYAAAAJ&hl=es
53,Lucas Alados Arboledas,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,4520,37,2948,30,https://scholar.google.com/citations?user=CMmEjJYAAAAJ&hl=es
54,Juan Luis Castro Peña,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4470,32,1736,23,https://scholar.google.com/citations?user=TXaOLpsAAAAJ&hl=es
55,Jose L Oliver Jimenez,Ciencias Biologicas,Biologi­a,Geni©tica,4440,29,1366,17,https://scholar.google.com/citations?user=b-W6XPMAAAAJ&hl=es
56,Joaquin Marro Borau,Ciencias Exactas y Naturales,Fi­sica,Electromagnetismo y Fi­sica de la Materia,4357,27,857,11,https://scholar.google.com/citations?user=3R5GejMAAAAJ&hl=es
57,Juan Alberto Aragon Correa,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,4356,20,2979,19,https://scholar.google.com/citations?user=VGs5DPgAAAAJ&hl=es
58,Serafin Moral Callejon,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4347,37,1515,19,https://scholar.google.com/citations?user=d1Tz-gcAAAAJ&hl=es
59,Luis Fermin Capitan Vallvey,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,4341,32,2118,22,https://scholar.google.com/citations?user=hNeZ940AAAAJ&hl=es
60,Alberto Prieto Espinosa,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,4130,32,1524,20,https://scholar.google.com/citations?user=qgV-u4sAAAAJ&hl=es
61,Ana Maria Garcia Campaña,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,4109,38,2302,28,https://scholar.google.com/citations?user=uI1JFLUAAAAJ&hl=es
62,Manuel Perez-Victoria Moreno De Barreda,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,4102,28,2254,20,https://scholar.google.com/citations?user=M8I-oUY3DiMC&hl=es
63,Luis Miguel De Campos Ibañez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,4091,36,1560,20,https://scholar.google.com/citations?user=YkBiiO4AAAAJ&hl=es
64,Jose Antonio Hodar Correa,Ciencias Biologicas,Biologi­a,Ecologi­a,4080,33,2071,25,https://scholar.google.com/citations?user=yRmV3mwAAAAJ&hl=es
65,Jesus Sanchez-Dehesa Moreno-Cid,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",4068,33,1654,21,https://scholar.google.com/citations?user=IM07PTcAAAAJ&hl=es
66,Carlos Manuel Rodriguez Navarro,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,4068,32,2613,29,https://scholar.google.com/citations?user=QTevb0sAAAAJ&hl=es
67,Francisco Nogales Fernandez,Ciencias de la Salud,Medicina,Anatomi­a Patologica e Historia de la Ciencia,3973,34,1403,18,https://scholar.google.com/citations?user=pqG3YEcAAAAJ&hl=es
68,Rafael Molina Soriano,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,3937,31,2222,24,https://scholar.google.com/citations?user=u6K_sU8AAAAJ&hl=es
69,M Rosario Rueda Cuerva,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,3918,19,2592,18,https://scholar.google.com/citations?user=dTFQyuMAAAAJ&hl=es
70,Juan Pedro Martinez Camacho,Ciencias Biologicas,Biologi­a,Geni©tica,3906,32,1692,21,https://scholar.google.com/citations?user=ogjZENgAAAAJ&hl=es
71,Jose Gutierrez Perez,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Mi©todos de Investigacion y Diagnostico en Educacion,3768,24,1760,16,https://scholar.google.com/citations?user=1ZIClHQAAAAJ&hl=es
72,Juan Manuel Salas Peregrin,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,3766,30,1140,17,https://scholar.google.com/citations?user=sJ5VhtwAAAAJ&hl=es
73,Jose Santiago Perez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,3727,34,2004,26,https://scholar.google.com/citations?user=RzyLr5AAAAAJ&hl=es
74,Manuel Fernandez Cruz,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,3719,27,1694,17,https://scholar.google.com/citations?user=8sJU7rQAAAAJ&hl=es
75,Francisco Javier Llorens Montes,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,3703,31,2415,25,https://scholar.google.com/citations?user=Dh1P_YwAAAAJ&hl=es
76,Chris Cornelis,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,3670,32,2347,25,https://scholar.google.com/citations?user=ln46HlkAAAAJ&hl=es
77,Javier Ramirez Perez De Inestrosa,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,"Teori­a de la Señal, Telematica y Comunicaciones",3645,31,2431,26,https://scholar.google.com/citations?user=7XJ9tIUAAAAJ&hl=es
78,Cristina Campoy Folgoso,Ciencias de la Salud,Medicina,Pediatri­a,3578,30,2663,26,https://scholar.google.com/citations?user=5JgYVXoAAAAJ&hl=es
79,Lorenzo Luis Salcedo Moreno,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",3571,30,1356,21,https://scholar.google.com/citations?user=OxnSwKkAAAAJ&hl=es
80,Francisco J Gamiz Perez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Electronica y Tecnologi­a de Computadores,3541,31,1543,20,https://scholar.google.com/citations?user=o4_WgNMAAAAJ&hl=es
81,Miguel Perez Garcia,Ciencias de la Salud,Psicologi­a - Salud,"Personalidad, Evaluacion y Tratamiento Psicologico",3539,33,2586,29,https://scholar.google.com/citations?user=u3vD1vkAAAAJ&hl=es
82,Francisco J O'valle Ravassa,Ciencias de la Salud,Medicina,Anatomi­a Patologica e Historia de la Ciencia,3503,36,1970,24,https://scholar.google.com/citations?user=ICYjMakAAAAJ&hl=es
83,Norberto Ortego Centeno,Ciencias de la Salud,Medicina,Medicina,3454,31,2421,26,https://scholar.google.com/citations?user=7kisG18AAAAJ&hl=es
84,Luis Carlos Lopez Garcia,Ciencias de la Salud,Medicina,Fisiologi­a,3440,37,2498,32,https://scholar.google.com/citations?user=ME6Il4kAAAAJ&hl=es
85,Fernando Gonzalez Caballero,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,3435,28,1625,22,https://scholar.google.com/citations?user=mAaQe8MAAAAJ&hl=es
86,Luis Rico Romero,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica de la Matematica,3359,31,1658,21,https://scholar.google.com/citations?user=kKHJ-okAAAAJ&hl=es
87,Carmen Cabrera Vique,Ciencias de la Salud,Farmacia,Nutricion y Bromatologi­a,3340,26,2005,16,https://scholar.google.com/citations?user=eipWJRQAAAAJ&hl=es
88,Manuel Martinez Bueno,Ciencias de la Salud,Farmacia,Microbiologi­a,3325,34,1673,26,https://scholar.google.com/citations?user=ukJHntMAAAAJ&hl=es
89,Francisco Jose Maldonado Hodar,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,3298,29,1945,23,https://scholar.google.com/citations?user=arCuH5gAAAAJ&hl=es
90,Alberto Navalon Monton,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,3210,33,1752,23,https://scholar.google.com/citations?user=hVFuzm8AAAAJ&hl=es
91,Jesus Galindo Zaldivar,Ciencias Exactas y Naturales,Ciencias de la Tierra,Geodinamica,3150,29,1634,22,https://scholar.google.com/citations?user=lK-eomsAAAAJ&hl=es
92,Emilio Delgado Lopez-Cozar,Ciencias Sociales y Juri­dicas,Comunicacion y Documentacion,Informacion y Comunicacion,3114,30,2122,25,https://scholar.google.com/citations?user=kyTHOh0AAAAJ&hl=es
93,Ana Maria Rivas Velasco,Ciencias de la Salud,Farmacia,Nutricion y Bromatologi­a,3065,23,1249,20,https://scholar.google.com/citations?user=YjGqm-0AAAAJ&hl=es
94,Carlos Jesus Garrido Marin,Ciencias Exactas y Naturales,Ciencias de la Tierra,Mineralogi­a y Petrologi­a,2923,31,1852,28,https://scholar.google.com/citations?user=OTiGbr1Od1oC&hl=es
95,Miguel Alaminos Mingorance,Ciencias de la Salud,Medicina,Histologi­a,2917,27,1825,22,https://scholar.google.com/citations?user=6I2uKD0AAAAJ&hl=es
96,Pedro Luis Mateo Alarcon,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Fi­sica,2882,27,467,9,https://scholar.google.com/citations?user=lDRCZdQAAAAJ&hl=es
97,Victor Jesus Garcia Morales,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Organizacion de Empresas,2876,25,2285,20,https://scholar.google.com/citations?user=SxTaeP4AAAAJ&hl=es
98,David Epstein,Ciencias Sociales y Juri­dicas,Ciencias Economicas y Empresariales,Economi­a Aplicada,2863,23,2113,21,https://scholar.google.com/citations?user=5wXbnfsAAAAJ&hl=es
99,Javier Lopez Albacete,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,2850,21,2117,21,https://scholar.google.com/citations?user=zvTRzc0AAAAJ&hl=es
100,Ana Isabel Nieto Ruiz De Zarate,Ciencias de la Salud,Medicina,Anatomi­a Patologica e Historia de la Ciencia,2848,31,1599,25,https://scholar.google.com/citations?user=aJm7MR4AAAAJ&hl=es
101,Jorge Casillas Barranquero,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,2828,25,1343,19,https://scholar.google.com/citations?user=neU56WYAAAAJ&hl=es
102,Antonio Ros Mulero,Ciencias Exactas y Naturales,Matematicas,Geometri­a y Topologi­a,2817,32,1021,20,https://scholar.google.com/citations?user=psbfsbQAAAAJ&hl=es
103,Jesus Domingo Segovia,Ciencias Sociales y Juri­dicas,Ciencias de la Educacion,Didactica y Organizacion Escolar,2815,20,1500,13,https://scholar.google.com/citations?user=0AWPJSUAAAAJ&hl=es
104,Victor Federico Herrero Solana,Ciencias Sociales y Juri­dicas,Comunicacion y Documentacion,Informacion y Comunicacion,2814,25,1307,16,https://scholar.google.com/citations?user=OKIleUEAAAAJ&hl=es
105,Francisco Jose Olmo Reyes,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,2800,30,1870,26,https://scholar.google.com/citations?user=OTYgOsEAAAAJ&hl=es
106,Ignacio Rojas Ruiz,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,2791,27,1306,18,https://scholar.google.com/citations?user=o6uOKG0AAAAJ&hl=es
107,Fermin Sanchez De Medina,Ciencias de la Salud,Farmacia,Farmacologi­a,2776,31,1714,21,https://scholar.google.com/citations?user=Y0GzurEAAAAJ&hl=es
108,Jorge Andres Rodriguez Navarro,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Inorganica,2756,32,1430,22,https://scholar.google.com/citations?user=I-CsQZkAAAAJ&hl=es
109,Javier Alba Tercedor,Ciencias Biologicas,Biologi­a,Zoologi­a,2721,25,1037,16,https://scholar.google.com/citations?user=wJ04oP8AAAAJ&hl=es
110,Juan Manuel Gorriz Saez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,"Teori­a de la Señal, Telematica y Comunicaciones",2704,29,2046,24,https://scholar.google.com/citations?user=mUYxjZoAAAAJ&hl=es
111,Maria Carmen Garcia Recio,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",2647,25,1053,21,https://scholar.google.com/citations?user=MFoelVMAAAAJ&hl=es
112,Francisco Santoyo Gonzalez,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Organica,2630,28,1367,20,https://scholar.google.com/citations?user=vkmQKLEAAAAJ&hl=es
113,Jose Carlos Segura Luna,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,"Teori­a de la Señal, Telematica y Comunicaciones",2611,23,1268,18,https://scholar.google.com/citations?user=X2IL7z4AAAAJ&hl=es
114,Antonio Gonzalez Muñoz,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,2605,24,911,15,https://scholar.google.com/citations?user=m10MHw0AAAAJ&hl=es
115,Miguel Navarro Alarcon,Ciencias de la Salud,Farmacia,Nutricion y Bromatologi­a,2595,28,1355,17,https://scholar.google.com/citations?user=qig8o7UAAAAJ&hl=es
116,Julio Ortega Lopera,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,2582,25,1012,16,https://scholar.google.com/citations?user=h6Cc4nEAAAAJ&hl=es
117,Maria Dolores Suarez Ortega,Ciencias de la Salud,Farmacia,Bioqui­mica y Biologi­a Molecular - Farmacia,2533,26,1368,20,https://scholar.google.com/citations?user=X53JjjYAAAAJ&hl=es
118,Alegria Carrasco Pancorbo,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Anali­tica,2525,27,1826,24,https://scholar.google.com/citations?user=LzVFAX8AAAAJ&hl=es
119,Olga Martinez Augustin,Ciencias de la Salud,Farmacia,Bioqui­mica y Biologi­a Molecular - Farmacia,2503,28,1771,22,https://scholar.google.com/citations?user=s2Tr97gAAAAJ&hl=es
120,Miguel Angel Cabrerizo Vilchez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,2502,28,1280,21,https://scholar.google.com/citations?user=lc0Vmf4AAAAJ&hl=es
121,Miguel Sanchez Caja,Ciencias Exactas y Naturales,Matematicas,Geometri­a y Topologi­a,2492,25,1306,18,https://scholar.google.com/citations?user=3TrRMLkAAAAJ&hl=es
122,Jose Enrique Amaro Soriano,Ciencias Exactas y Naturales,Fi­sica,"Fi­sica Atomica, Molecular y Nuclear",2485,27,1034,17,https://scholar.google.com/citations?user=-Jur2ekAAAAJ&hl=es
123,Fernando Molina Gonzalez,Ciencias Humanas y Artes,Filosofi­a y Letras,Prehistoria y Arqueologi­a,2448,27,869,15,https://scholar.google.com/citations?user=Z2kBF1IAAAAJ&hl=es
124,Jose Miguel Azañon Hernandez,Ciencias Exactas y Naturales,Ciencias de la Tierra,Geodinamica,2443,27,1207,19,https://scholar.google.com/citations?user=4jvVDzUAAAAJ&hl=es
125,Juana Perez Torres,Ciencias de la Salud,Farmacia,Microbiologi­a,2407,22,1144,14,https://scholar.google.com/citations?user=-rjswrwAAAAJ&hl=es
126,Daniel Sanchez Fernandez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,2393,25,1219,18,https://scholar.google.com/citations?user=XuHcc_YAAAAJ&hl=es
127,Juan Manuel Pleguezuelos Gomez,Ciencias Biologicas,Biologi­a,Zoologi­a,2387,24,1282,17,https://scholar.google.com/citations?user=7RpXDWsAAAAJ&hl=es
128,Juan Manuel Cuerva Carvajal,Ciencias Exactas y Naturales,Qui­mica,Qui­mica Organica,2362,27,1271,21,https://scholar.google.com/citations?user=XVgEFtEAAAAJ&hl=es
129,Maria Teresa Bajo Molina,Ciencias de la Salud,Psicologi­a - Salud,Psicologi­a Experimental,2304,26,1292,20,https://scholar.google.com/citations?user=CYhdbaIAAAAJ&hl=es
130,Juan De Vicente Alvarez-Manzaneda,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Aplicada,2289,27,1713,24,https://scholar.google.com/citations?user=AxCRCSIAAAAJ&hl=es
131,Pablo Antonio Galindo Moreno,Ciencias de la Salud,Odontologi­a,Estomatologi­a,2287,24,1841,23,https://scholar.google.com/citations?user=5mXMw3oAAAAJ&hl=es
132,Pedro Jose Torres Villarroya,Ciencias Exactas y Naturales,Matematicas,Matematica Aplicada,2286,25,1413,21,https://scholar.google.com/citations?user=h5grY3MAAAAJ&hl=es
133,Maria Elvira Gamiz Sanchez,Ciencias Exactas y Naturales,Fi­sica,Fi­sica Teorica y del Cosmos,2259,27,1433,13,https://scholar.google.com/citations?user=LLMVc5cAAAAJ&hl=es
134,Eduardo Ros Vidal,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Arquitectura y Tecnologi­a de Computadores,2249,27,1437,20,https://scholar.google.com/citations?user=lyL3mVoAAAAJ&hl=es
135,Jose Morales Soto,Ciencias Exactas y Naturales,Ciencias de la Tierra,Fi­sica Teorica y del Cosmos,2249,28,1198,20,https://scholar.google.com/citations?user=pdXwArkAAAAJ&hl=es
136,Jose Muñoz Dorado,Ciencias de la Salud,Farmacia,Microbiologi­a,2213,19,1054,12,https://scholar.google.com/citations?user=fxIE-RwAAAAJ&hl=es
137,Rafael Alcala Fernandez,Ingenieri­a y Tecnologi­a,Ingenieri­as Informatica y de Telecomunicacion,Ciencias de la Computacion e Inteligencia Artificial,2213,22,1686,20,https://scholar.google.com/citations?user=XZAvcZAAAAAJ&hl=es
