CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 4459 , 5520 , 9979 
SEGUNDO , 4805 , 6934 , 11739 
TERCERO , 6159 , 8392 , 14551 
CUARTO , 3906 , 4691 , 8597 
QUINTO , 5394 , 5031 , 10425 
SEXTO , 305 , 440 , 745 
