CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 493 , , , , , 
SEGUNDO , 1389 , 779 , , , , 
TERCERO , 1915 , 2688 , 1022 , , , 
CUARTO , 977 , 1263 , 1653 , 522 , , 
QUINTO , 1006 , 1212 , 1479 , 2132 , 557 , 
SEXTO , 16 , 35 , 47 , 58 , 89 , 44 
