NACIONALIDAD , VARONES , MUJERES , TOTALES 
AFGANISTÁN , 1 , 0 , 1 ALBANIA , 2 , 0 , 2 
ALEMANIA , 318 , 82 , 400 
ALTOS DEL GOLÁN , 2 , 0 , 2 
ANDORRA , 1 , 3 , 4 
ARGELIA , 6 , 4 , 10 
ARGENTINA , 20 , 39 , 59 
ARMENIA , 1 , 0 , 1 
AUSTRALIA , 12 , 0 , 12 
AUSTRIA , 30 , 13 , 43 
BENIN-DAHAMEY , 0 , 1 , 1 
BIELORUSIA , 1 , 3 , 4 
BOLIVIA , 1 , 5 , 6 
BOSNIA Y HERZEGOVINA , 2 , 1 , 3 
BRASIL , 25 , 20 , 45 
BULGARIA , 10 , 6 , 16 
BÉLGICA , 91 , 16 , 107 
CAMERÚN , 0 , 1 , 1 
CANADÁ , 22 , 3 , 25 
CHECOSLOVAQUIA , 17 , 6 , 23 
CHILE , 15 , 11 , 26 
CHINA (REP. POPULAR) , 3 , 6 , 9 
CHIPRE , 7 , 4 , 11 
COLOMBIA , 16 , 23 , 39 
COREA DEL NORTE , 1 , 0 , 1 
COREA DEL SUR , 4 , 1 , 5 
COSTA DE MARFIL , 1 , 0 , 1 
CUBA , 4 , 6 , 10 
DINAMARCA , 23 , 6 , 29 
DOMINICA , 0 , 1 , 1 
ECUADOR , 7 , 12 , 19 
EE. UU. DE AMERICA , 193 , 29 , 222 
EGIPTO , 2 , 0 , 2 
EL SALVADOR , 2 , 0 , 2 
ESLOVAQUIA , 15 , 30 , 45 
ESLOVENIA , 2 , 1 , 3 
ESPAÑA , 22088 , 29504 , 51592 
ESTONIA , 8 , 8 , 16 
ETIOPÍA , 1 , 1 , 2 
FIDJI , 2 , 0 , 2 
FINLANDIA , 39 , 13 , 52 
FRANCIA , 354 , 69 , 423 
GABÓN , 1 , 0 , 1 
GAMBIA , 0 , 1 , 1 
GRECIA , 36 , 5 , 41 
GRENADA , 0 , 1 , 1 
GUATEMALA , 0 , 2 , 2 
GUINEA (REPUBLICA) , 2 , 1 , 3 
GUINEA ECUATORIAL , 4 , 5 , 9 
HAITÍ , 2 , 0 , 2 
HOLANDA (PAISES BAJO , 40 , 5 , 45 
HONDURAS , 1 , 0 , 1 
HUNGRIA , 23 , 5 , 28 
IRLANDA (EIRE) , 23 , 1 , 24 
IRÁN , 2 , 1 , 3 
ISLANDIA , 0 , 1 , 1 
ITALIA , 452 , 69 , 521 
JAMAICA , 0 , 1 , 1 
JAPÓN , 4 , 3 , 7 
JORDANIA , 13 , 2 , 15 
LETONIA , 1 , 3 , 4 
LIECHTENSTEIN , 0 , 1 , 1 
LITUANIA , 4 , 3 , 7 LÍBANO , 2 , 1 , 3 
MALI , 0 , 1 , 1 
MARRUECOS , 388 , 554 , 942 
MAURITANIA , 1 , 3 , 4 
MOLDAVIA , 0 , 1 , 1 
MOZAMBIQUE , 1 , 1 , 2 
MÉXICO , 116 , 27 , 143 
NICARAGUA , 0 , 2 , 2 
NORUEGA , 14 , 5 , 19 
NUEVA ZELANDA , 2 , 1 , 3 
PANAMÁ , 1 , 1 , 2 
PARAGUAY , 0 , 1 , 1 
PERÚ , 7 , 6 , 13 
POLONIA , 117 , 56 , 173 
PORTUGAL , 56 , 6 , 62 
REINO UNIDO , 165 , 39 , 204 
REP. DOMINICANA , 1 , 0 , 1 
REPÚBLICA CHECA , 32 , 4 , 36 
RUMANÍA , 20 , 45 , 65 
RUSIA , 27 , 15 , 42 
SENEGAL , 3 , 0 , 3 
SERBIA , 1 , 0 , 1 
SIRIA , 6 , 3 , 9 
SUECIA , 17 , 8 , 25 
SUIZA , 29 , 8 , 37 
TOGO , 1 , 0 , 1 
TURQUÍA , 6 , 3 , 9 
TÚNEZ , 0 , 2 , 2 
UCRANIA , 8 , 9 , 17 
URUGUAY , 2 , 4 , 6 
VENEZUELA , 5 , 8 , 13 
VIETNAM , 0 , 1 , 1 
YUGOSLAVIA , 1 , 0 , 1 
SIN ESPECIFICAR , 42 , 155 , 197 
