RAMAS,TITULACIÓN,Hombres,Mujeres,TOTAL
 ,GRADUADO/A EN EDUCACIÓN PRIMARIA,988,1281,2269
 ,GRADUADO/A EN EDUCACIÓN PRIMARIA (BILINGÜE),47,158,205
 ,GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),99,140,239
 ,GRADUADO/A EN EDUCACIÓN PRIMARIA (LA INMACULADA),297,342,639
 ,GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),77,116,193
 ,GRADUADO/A EN EDUCACIÓN SOCIAL,130,396,526
 ,GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),35,117,152
 ,GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),27,115,142
 ,GRADUADO/A EN FINANZAS Y CONTABILIDAD,255,270,525
 ,GRADUADO/A EN GEOGRAFÍA Y GESTIÓN DEL TERRITORIO,155,44,199
 ,GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),20,17,37
 ,GRADUADO/A EN INFORMACIÓN Y DOCUMENTACIÓN,101,172,273
 ,GRADUADO/A EN MARKETING E INVESTIGACIÓN DE MERCADOS,257,239,496
 ,GRADUADO/A EN PEDAGOGÍA,96,362,458
 ,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS,523,727,1250
 ,GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),33,58,91
 ,GRADUADO/A EN SOCIOLOGÍA,249,267,516
 ,GRADUADO/A EN TRABAJO SOCIAL,168,544,712
 ,GRADUADO/A EN TURISMO,213,385,598
 ,LDO. EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS Y DERECHO,137,253,390
 ,LICENCIADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS,300,423,723
 ,LICENCIADO EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,344,84,428
 ,LICENCIADO EN CIENCIAS DEL TRABAJO,62,152,214
 ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMINISTRACIÓN,92,82,174
 ,LICENCIADO EN CIENCIAS POLÍTICAS Y DE LA ADMON. Y DERECHO,76,112,188
 ,LICENCIADO EN COMUNICACIÓN AUDIOVISUAL,8,7,15
 ,LICENCIADO EN DERECHO,573,719,1292
 ,LICENCIADO EN DOCUMENTACIÓN,33,72,105
 ,LICENCIADO EN ECONOMÍA,230,265,495
 ,LICENCIADO EN INVESTIGACIÓN Y TÉCNICAS DE MERCADO,18,18,36
 ,LICENCIADO EN PEDAGOGÍA,62,235,297
 ,LICENCIADO EN PSICOLOGÍA,110,405,515
 ,LICENCIADO EN PSICOPEDAGOGÍA,36,82,118
 ,"LICENCIADO EN PSICOPEDAGOGÍA ""CEUTA""",5,10,15
 ,"LICENCIADO EN PSICOPEDAGOGÍA ""MELILLA""",12,32,44
 ,LICENCIADO EN SOCIOLOGÍA,61,82,143
 ,LICENCIATURA EN DERECHO,,1,1
 ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,,2,2
 ,MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE,2,16,18
 ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""CEUTA""",,4,4
 ,"MAESTRO ESPECIALIDAD DE AUDICIÓN Y LENGUAJE ""MELILLA""",,1,1
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,2,3,5
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL,2,10,12
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""CEUTA""",2,7,9
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN ESPECIAL ""MELILLA""",,5,5
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,11,2,13
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA,20,11,31
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""CEUTA""",20,8,28
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN FÍSICA ""MELILLA""",10,3,13
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,3,25,28
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL,2,6,8
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""CEUTA""",2,15,17
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN INFANTIL ""MELILLA""",,10,10
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,4,,4
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL,18,16,34
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""CEUTA""",2,2,4
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN MUSICAL ""MELILLA""",1,,1
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,1,3,4
 ,MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA,23,38,61
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""CEUTA""",1,12,13
 ,"MAESTRO ESPECIALIDAD DE EDUCACIÓN PRIMARIA ""MELILLA""",5,24,29
 ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,4,2,6
 ,MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA,19,26,45
 ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""CEUTA""",,3,3
 ,"MAESTRO ESPECIALIDAD DE LENGUA EXTRANJERA ""MELILLA""",2,3,5
TOTAL RAMA, ,10777,14922,25699
INGENIERÍA Y ARQUITECTURA,ARQUITECTO,526,417,943
 ,ARQUITECTURA TÉCNICA,347,171,518
 ,GRADUADO/A EN ARQUITECTURA,393,250,643
 ,GRADUADO/A EN EDIFICACIÓN,862,406,1268
 ,GRADUADO/A EN INGENIERÍA CIVIL,653,230,883
 ,GRADUADO/A EN INGENIERÍA DE TECNOLOGÍAS DE TELECOMUNICACIÓN,356,73,429
 ,GRADUADO/A EN INGENIERÍA ELECTRÓNICA INDUSTRIAL,150,26,176
 ,GRADUADO/A EN INGENIERÍA INFORMÁTICA,956,93,1049
 ,GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),37,7,44
 ,GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,79,30,109
 ,GRADUADO/A EN INGENIERÍA QUÍMICA,206,147,353
 ,INGENIERO DE TELECOMUNICACIÓN,189,51,240
 ,INGENIERO EN ELECTRÓNICA,70,6,76
 ,INGENIERO EN INFORMÁTICA,221,27,248
 ,INGENIERO QUÍMICO,133,140,273
 ,INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN,57,18,75
 ,"INGENIERO TÉCNICO EN INFORMÁTICA DE GESTIÓN ""CEUTA""",6,1,7
 ,INGENIERO TÉCNICO EN INFORMÁTICA DE SISTEMAS,50,7,57
 ,"INGENIERO/A DE CAMINOS, CANALES Y PUERTOS",487,201,688
TOTAL RAMA, ,5778,2301,8079
CIENCIAS DE LA SALUD,DIPLOMADO EN ENFERMERÍA,2,5,7
 ,"DIPLOMADO EN ENFERMERÍA ""CEUTA""",9,19,28
 ,"DIPLOMADO EN ENFERMERÍA ""MELILLA""",4,6,10
 ,DIPLOMADO EN FISIOTERAPIA,5,3,8
 ,DIPLOMADO EN LOGOPEDIA,1,12,13
