CAPITULO,CONCEPTOS,CEUTA,MELILLA
Capitulo 1,Docentes Funcionarios,1315654,1810107
Capitulo 1,Docentes Contratados,1790341,2080073
Capitulo 1,P.A.S. Funcionario,252202,643273
Capitulo 1,P.A.S. Laboral,635587,575301
Capitulo 1,Cargos Académicos,54296,82416
Capitulo 1,Cuota Patronal Seguridad Social,739208,964904
Capitulo 1,Estimación Reducción Ley 3/2012 Junta Andalucía ,-203704,-256401
Capitulo 2,Campus edif. Teniente Ruiz Ceuta (Estructurales),136458,0
Capitulo 2,Facultad de Educación y Humanidades de Melilla( Estructurales),0,186893
Capitulo 2,Fac. Ciencias Sociales Melilla) (Estructurales),0,184820
Capitulo 2,Facultad de Ciencias de la Salud Melilla) (Estructurales),0,7250
Capitulo 2,Facultad de Educación y Humanidades (Créd. Distribuibles),55360,28157
Capitulo 2,Fac. Ciencias Sociales (Créditos distribuibles),0,21631
Capitulo 2,Facultad de Ciencias de la Salud (Créditos distribuibles),27676,17759
Capitulo 2,Dietas Reuniones Departamentales,106434,158994
Capitulo 6,Actuaciones Campus,0,0
