del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1514 , , , , , 
SEGUNDO , 3317 , 815 , , , , 
TERCERO , 3275 , 3943 , 1394 , , , 
CUARTO , 1275 , 991 , 1847 , 1067 , , 
QUINTO , 1377 , 1260 , 2204 , 3707 , 1090 , 
SEXTO , 6 , 31 , 43 , 58 , 74 , 12 
