TIPO DE BECA , ALUMNOS 
MEC. REGIMEN GENERAL , 10398 
MIN. "TRABAJO, ASUNTOS" SOCIALES , 16 
MINISTERIO ASUNTOS EXTERIORES , 152 
SIN ESPECIFICAR , 1396 
GOBIERNO VASCO , 2 
"SOCRATES, ERASMUS" (Europa Occ) , 327 
"SICUE, SENECA" (Nacional) , 124 
LIBRE INTERCAMBIO (Internac.) , 4 
CONV. BILATERALES (Internac.) , 0 
TOTAL BECARIOS , 12419 
