CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5338 , 7104 , 12442 
SEGUNDO , 5107 , 6896 , 12003 
TERCERO , 5907 , 7188 , 13095 
CUARTO , 3755 , 4845 , 8600 
QUINTO , 4389 , 5176 , 9565 
SEXTO , 143 , 209 , 352 
