CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 4521 , 5426 , 9947 
SEGUNDO , 4795 , 6735 , 11530 
TERCERO , 6387 , 8611 , 14998 
CUARTO , 3909 , 4555 , 8464 
QUINTO , 5409 , 5153 , 10562 
SEXTO , 329 , 513 , 842 
