CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 447 , , , , , 
SEGUNDO , 1124 , 455 , , , , 
TERCERO , 1788 , 2263 , 669 , , , 
CUARTO , 769 , 954 , 1192 , 347 , , 
QUINTO , 819 , 1091 , 1638 , 2172 , 563 , 
SEXTO , 22 , 55 , 64 , 64 , 80 , 53 
