"UNIVERSIDAD DE GRANADA","Nº MEDIO DE CRÉDITOS MATRICULADOS","Nº MEDIO DE CRÉDITOS PRESENTADOS","Nº MEDIO DE CRÉDITOS SUPERADOS"
"ARTES Y HUMANIDADES","45,56","41,05","40,98 "
"CIENCIAS","51,53","47,97","47,80 "
"CIENCIAS DE LA SALUD","54,29","52,01","51,95 "
"CIENCIAS SOCIALES Y JURÍDICAS","51,50","46,94","46,85 "
"INGENIERÍA Y ARQUITECTURA","47,33","42,93","42,92 "
"TODAS LAS RAMAS","50,78","46,83","46,75"
