CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5255 , 7151 , 12406 
SEGUNDO , 5342 , 7508 , 12850 
TERCERO , 6534 , 8633 , 15167 
CUARTO , 3654 , 5474 , 9128 
QUINTO , 4402 , 4909 , 9311 
SEXTO , 156 , 224 , 380 
