, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4472,783 , 6410,741 , 10882,1524 
SEGUNDO , 3310,2032 , 4714,2794 , 8024,4826 
TERCERO , 3305,3229 , 5212,3421 , 8517,6650 
CUARTO , 2395,1259 , 3477,1997 , 5872,3256 
QUINTO , 1684,2718 , 2163,2746 , 3847,5464 
SEXTO , 86,70 , 157,67 , 243,137 
