CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 741 , , , , , 
SEGUNDO , 2217 , 577 , , , , 
TERCERO , 1653 , 1955 , 1027 , , , 
CUARTO , 498 , 405 , 1045 , 781 , , 
QUINTO , 209 , 303 , 1127 , 1847 , 677 , 
SEXTO , 3 , 17 , 20 , 24 , 43 , 16 
