CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 783 , , , , , 
SEGUNDO , 1648 , 384 , , , , 
TERCERO , 1524 , 2065 , 855 , , , 
CUARTO , 304 , 302 , 694 , 467 , , 
QUINTO , 194 , 375 , 1017 , 1722 , 762 , 
SEXTO , 4 , 14 , 18 , 28 , 51 , 9 
