Rama ,Tasa de rendimiento (%),Tasa de éxito (%),Tasa de evaluación (%)
UGR ,"62,89","85,36","73,68"
Artes y Humanidades,"63,00","87,08","72,35"
Ciencias,"57,65","82,76","69,66"
Ciencias de la Salud,"67,92","87,48","77,64"
Ciencias Sociales y Jurídicas,"63,86","84,22","75,83"
Ingeniería y Arquitectura,"58,85","85,89","68,51"
