Rama ,Tasa de rendimiento (%),Tasa de éxito (%),Tasa de evaluación (%)
UGR ,"91,79","99,72","92,05"
Artes y Humanidades,"90,93","99,6","91,29"
Ciencias,"92,02","99,69","92,31"
Ciencias de la Salud,"95,53","99,87","95,65"
Ciencias Sociales y Jurídicas,"91,53","99,71","91,80"
Ingeniería y Arquitectura,"87,59","99,67","87,88"
