, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4615,724 , 6313,791 , 10928,1515 
SEGUNDO , 3188,1920 , 4683,2213 , 7871,4133 
TERCERO , 2986,2927 , 4153,3036 , 7139,5963 
CUARTO , 2224,1531 , 2901,1944 , 5125,3475 
QUINTO , 1834,2555 , 2345,2831 , 4179,5386 
SEXTO , 94,49 , 150,59 , 244,108 
