del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 12443 , , , , , 
SEGUNDO , 9481 , 2523 , , , , 
TERCERO , 7889 , 8928 , 2706 , , , 
CUARTO , 3621 , 3209 , 5294 , 1964 , , 
QUINTO , 2927 , 2545 , 4146 , 6863 , 1648 , 
SEXTO , 7 , 45 , 65 , 106 , 150 , 161 
