LUGAR DE RESIDENCIA , VARONES , MUJERES , TOTALES 
ALAVA , 18 , 23 , 41 
ALBACETE , 39 , 57 , 96 
ALICANTE , 84 , 114 , 198 
ALMERIA , 1161 , 1451 , 2612 
AVILA , 2 , 1 , 3 
BADAJOZ , 100 , 179 , 279 
BALEARES , 76 , 110 , 186 
BARCELONA , 244 , 308 , 552 
BURGOS , 12 , 14 , 26 
CACERES , 26 , 38 , 64 
CADIZ , 1274 , 1520 , 2794 
CANTABRIA , 15 , 33 , 48 
CASTELLON , 10 , 16 , 26 
CEUTA , 362 , 484 , 846 
CIUDAD REAL , 144 , 296 , 440 
CORDOBA , 971 , 1634 , 2605 
CORUÑA LA , 20 , 36 , 56 
CUENCA , 9 , 11 , 20 
EXTRANJERO , 266 , 328 , 594 
GERONA , 23 , 26 , 49 
GRANADA , 12315 , 15532 , 27847 
GUADALAJARA , 6 , 6 , 12 
GUIPUZCUA , 31 , 42 , 73 
HUELVA , 167 , 230 , 397 
HUESCA , 9 , 19 , 28 
JAEN , 2307 , 3113 , 5420 
LA RIOJA , 14 , 27 , 41 
LEON , 18 , 22 , 40 
LERIDA , 10 , 13 , 23 
LUGO , 1 , 5 , 6 
MADRID , 217 , 320 , 537 
MALAGA , 1507 , 1869 , 3376 
MELILLA , 359 , 454 , 813 
MURCIA , 298 , 453 , 751 
NAVARRA , 17 , 41 , 58 
ORENSE , 5 , 14 , 19 
OVIEDO , 32 , 53 , 85 
PALENCIA , 2 , 7 , 9 
PALMAS LAS , 96 , 193 , 289 
PONTEVEDRA , 16 , 18 , 34 
SALAMANCA , 15 , 24 , 39 
SEGOVIA , 53 , 89 , 142 
SEVILLA , 403 , 514 , 917 
SORIA , 6 , 15 , 21 
STA. CRUZ DE TENERIF , 61 , 74 , 135 
TARRAGONA , 15 , 25 , 40 
TERUEL , 4 , 9 , 13 
TOLEDO , 26 , 41 , 67 
VALENCIA , 67 , 98 , 165 
VALLADOLID , 61 , 97 , 158 
VIZCAYA , 83 , 98 , 181 
ZAMORA , 3 , 5 , 8 
ZARAGOZA , 28 , 44 , 72 
ALEMANIA , 34 , 23 , 57 
ANDORRA , 1 , 2 , 3 
ARGENTINA , 0 , 5 , 5 
AUSTRALIA , 1 , 0 , 1 
AUSTRIA , 1 , 2 , 3 
BELGICA , 7 , 6 , 13 
BENIN-DAHAMEY , 1 , 0 , 1 
BRASIL , 2 , 1 , 3 
BULGARIA , 3 , 0 , 3 
CANADA , 0 , 1 , 1 
CHECOSLOVAQUIA , 1 , 0 , 1 
CHILE , 1 , 0 , 1 
CHINA (REP. POPULAR) , 2 , 0 , 2 COLOMBIA , 1 , 0 , 1 
CUBA , 1 , 2 , 3 
DINAMARCA , 2 , 0 , 2 
EE. UU. DE AMERICA , 0 , 3 , 3 
EL SALVADOR , 1 , 0 , 1 
ESLOVAQUIA , 2 , 1 , 3 
ESPAÑA , 259 , 144 , 403 
FINLANDIA , 3 , 1 , 4 
FRANCIA , 29 , 26 , 55 
GRECIA , 2 , 1 , 3 
GUINEA ECUATORIAL , 2 , 0 , 2 
HOLANDA (PAISES BAJO , 4 , 3 , 7 
HONG-KONG , 0 , 1 , 1 
IRAK , 0 , 2 , 2 
IRAN , 1 , 0 , 1 
IRLANDA (EIRE) , 3 , 0 , 3 
ISLANDIA , 1 , 0 , 1 
ISRAEL , 1 , 0 , 1 
ITALIA , 36 , 2 , 38 
JORDANIA , 3 , 0 , 3 
KUWAIT , 1 , 0 , 1 
LIBANO , 5 , 0 , 5 
LUXEMBURGO , 2 , 0 , 2 
MARRUECOS , 188 , 270 , 458 
MEXICO , 0 , 3 , 3 
PAKISTAN , 0 , 1 , 1 
PERU , 3 , 0 , 3 
POLONIA , 5 , 3 , 8 
PORTUGAL , 4 , 1 , 5 
REINO UNIDO , 20 , 8 , 28 
REP. DOMINICANA , 1 , 0 , 1 
RUMANIA , 1 , 2 , 3 
SIRIA , 4 , 0 , 4 
SUECIA , 1 , 0 , 1 
SUIZA , 7 , 10 , 17 
U. R. S. S. , 0 , 1 , 1 
UCRANIA , 0 , 1 , 1 
VENEZUELA , 1 , 0 , 1 
SIN ESPECIFICAR , 989 , 858 , 1847 
