CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 12394 , , , , , 
SEGUNDO , 9165 , 2449 , , , , 
TERCERO , 8179 , 9336 , 2538 , , , 
CUARTO , 4278 , 3886 , 5193 , 1767 , , 
QUINTO , 4045 , 3030 , 4184 , 6961 , 1525 , 
SEXTO , 5 , 42 , 50 , 85 , 159 , 178 
