CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5552 , 6842 , 12394 
SEGUNDO , 4932 , 6682 , 11614 
TERCERO , 5882 , 7377 , 13259 
CUARTO , 3696 , 4835 , 8531 
QUINTO , 4548 , 5002 , 9550 
SEXTO , 158 , 204 , 362 
