, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4818,734 , 6070,772 , 10888,1506 
SEGUNDO , 3241,1691 , 4775,1907 , 8016,3598 
TERCERO , 2855,3027 , 4043,3334 , 6898,6361 
CUARTO , 1890,1806 , 2428,2407 , 4318,4213 
QUINTO , 1725,2823 , 2029,2973 , 3754,5796 
SEXTO , 110,48 , 140,64 , 250,112 
