EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 472 , 743 , 1215 
18 , 2024 , 3360 , 5384 
19 , 2336 , 3707 , 6043 
20 , 2680 , 3977 , 6657 
21 , 2827 , 3900 , 6727 
22 , 2835 , 3476 , 6311 
23 , 2561 , 2726 , 5287 
24 , 2020 , 2134 , 4154 
25 , 1613 , 1590 , 3203 
26 , 1188 , 1224 , 2412 
27 , 874 , 862 , 1736 
28 , 661 , 634 , 1295 
29 , 475 , 442 , 917 
(Y MAS) 30 , 2202 , 2167 , 4369 
TOTALES , 24768 , 30942 , 55710 
MAYORES 28 , 3338 , 3243 , 6581 
