TITULO,TASA RENDIMIENTO,TASA EXITO,TASA ABANDONO INICIAL,TASA EFICIENCIA,TASA GRADUACION,TASA ABANDONO
GRADUADO/A EN ANTROPOLOGIA SOCIAL Y CULTURAL,"79,54","90,89","22,22","98,52",,
GRADUADO/A EN INGENIERIA INFORMATICA,"57,76","72,42","32,85","93,82","9,73","54,28"
GRADUADO/A EN INGENIERIA INFORMATICA Y MATEMATICAS,"76,33","83,71",40,,,
GRADUADO/A EN PEDAGOGIA,"92,24","96,08","5,17","97,86","43,44","39,34"
GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MUSICA,"76,22","87,12","18,75","96,71","25,33",48
GRADUADO/A EN ENFERMERIA (CEUTA),"92,89","94,7","25,37","94,51","46,67","39,26"
GRADUADO/A EN EDUCACION SOCIAL (CEUTA),"90,09","95,08","13,33","98,25",,
GRADUADO/A EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),"77,87","86,71","10,13","93,75","27,78","52,78"
GRADUADO/A EN EDUCACION PRIMARIA (CEUTA),"79,91","88,69","15,58","91,19","31,68","45,54"
GRADUADO/A EN EDUCACION INFANTIL (CEUTA),"89,1","93,09","15,09","97,09","32,08","45,28"
GRADUADO/A EN INGENIERIA INFORMATICA (CEUTA),"54,28","65,71",10,,0,"83,33"
GRADUADO/A EN ENFERMERIA (MELILLA),"88,66","90,84","12,9","94,12","68,33","11,67"
GRADUADO/A EN EDUCACION SOCIAL (MELILLA),"85,86","92,74","17,24","92,62",,
GRADUADO ADMINISTRACION Y DIRECCION EMPRESAS Y DCHO MELILLA,"54,55","72,6",,,,
GRADUADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),"69,39","82,27","32,84","96,1","23,53","52,94"
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""","75,34",100,,,,
"DIPLOMADO EN GESTION Y ADMINISTRACION PUBLICA ""MELILLA""",100,100,,,,
GRADUADO/A EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),"72,71","85,27","18,75",,"6,67","86,67"
GRADUADO/A EN EDUCACION PRIMARIA (MELILLA),"74,67","81,6","31,51","94,61","25,97","55,84"
GRADUADO/A EN EDUCACION INFANTIL (MELILLA),"83,06","90,27","32,26","97,26","31,71","53,66"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),"74,86","87,25","20,45","96,39","22,22","55,56"
GRADUADO/A CC ACT FISICA Y ED.PRIMA (MELILLA),"79,94","83,99",,,,
