GRADUADO/A EN ARQUEOLOGÍA,,,,,
GRADUADO/A EN FÍSICA,,,,"98,51","98,66"
GRADUADO/A EN GEOLOGÍA,,,,"96,67",100
GRADUADO/A EN MATEMÁTICAS,,,,"98,12","97,74"
GRADUADO/A EN LENGUAS MODERNAS Y SUS LITERATURAS,,,,"98,7","98,04"
GRADUADO/A EN FILOLOGÍA CLÁSICA,,,,"97,04","99,72"
GRADUADO/A EN ESTUDIOS FRANCESES,,,,"96,64","95,82"
GRADUADO/A EN ESTUDIOS ÁRABES E ISLÁMICOS,,,,,"97,56"
GRADUADO/A EN FILOLOGÍA HISPÁNICA,,,,98,"97,98"
GRADUADO/A EN ESTUDIOS INGLESES,,,,"97,45","99,3"
GRADUADO/A EN LOGOPEDIA,,,,"98,61","98,77"
GRADUADO/A EN ÓPTICA Y OPTOMETRÍA,,,,"97,52","93,06"
GRADUADO/A EN CIENCIAS DE LA ACTIVIDAD FÍSICA Y DEL DEPORTE,,,,"96,65","96,96"
GRADUADO/A EN LITERATURAS COMPARADAS,,,,"99,79",100
GRADUADO/A EN QUÍMICA,,,,"96,89","97,49"
GRADUADO/A EN HISTORIA,,,,"96,74","96,7"
GRADUADO/A EN HISTORIA DEL ARTE,,,,"97,22","97,78"
GRADUADO/A EN ANTROPOLOGÍA SOCIAL Y CULTURAL,,,,,"98,52"
GRADUADO/A EN INGENIERÍA INFORMÁTICA,,,,"95,35","93,82"
GRADUADO/A EN INGENIERÍA INFORMÁTICA Y MATEMÁTICAS,,,,,
GRADUADO/A EN PEDAGOGÍA,,,,"98,54","97,86"
GRADUADO/A EN HISTORIA Y CIENCIAS DE LA MÚSICA,,,,"97,74","96,71"
GRADUADO/A EN ENFERMERÍA (CEUTA),,,,"93,77","94,51"
GRADUADO/A EN EDUCACIÓN SOCIAL (CEUTA),,,,,"98,25"
GRADUADO/A EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (CEUTA),,,,"98,77","93,75"
GRADUADO/A EN EDUCACIÓN PRIMARIA (CEUTA),,,,"94,05","91,19"
GRADUADO/A EN EDUCACIÓN INFANTIL (CEUTA),,,,"96,17","97,09"
GRADUADO/A EN INGENIERÍA INFORMÁTICA (CEUTA),,,,,
GRADUADO/A EN ENFERMERÍA (MELILLA),,,,"96,52","94,12"
GRADUADO/A EN EDUCACIÓN SOCIAL (MELILLA),,,,,"92,62"
GRADUADO ADMINISTRACIÓN Y DIRECCIÓN EMPRESAS Y DCHO (MELILLA),,,,,
GRADUADO EN ADMINISTRACIÓN Y DIRECCIÓN DE EMPRESAS (MELILLA),,,,"90,62","96,1"
DIPLOMADO EN CIENCIAS EMPRESARIALES (MELILLA),,,,,
DIPLOMATURA DE RELACIONES LABORALES (MELILLA),,,,
DIPLOMADO EN RELACIONES LABORALES (MELILLA),,,,
DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),,,,,
GRADUADO/A EN GESTIÓN Y ADMINISTRACIÓN PÚBLICA (MELILLA),,,,"97,56",
GRADUADO/A EN EDUCACIÓN PRIMARIA (MELILLA),,,,"95,15","94,61"
GRADUADO/A EN EDUCACIÓN INFANTIL (MELILLA),,,,"97,13","97,26"
GRADUADO/A EN RELACIONES LABORALES Y RECURSOS HUMANOS (MEL.),,,,"80,81","96,39"
GRADUADO/A CC ACT FÍSICA Y ED.PRIMA (MELILLA),,,,,
