TITULO,TASA RENDIMIENTO,TASA EXITO
GRADO EN BIOLOGIA,66.56,75.84
GRADO EN ODONTOLOGIA,88.11,93.19
GRADO EN NUTRICION HUMANA Y DIETETICA,85.21,91.59
GRADO EN CIENCIA Y TECNOLOGIA DE LOS ALIMENTOS,58.87,70.87
GRADO EN FARMACIA,64.45,75.03
GRADO EN INGENIERIA ELECTRONICA INDUSTRIAL,53.88,65.84
GRADO EN CIENCIAS AMBIENTALES,54.03,68.52
GRADO EN ENFERMERIA,88.25,94.51
GRADO EN GEOGRAFIA Y GESTION DEL TERRITORIO,60.46,69.61
GRADO EN ARQUITECTURA,61.73,74.14
GRADO EN INGENIERIA EN EDIFICACION (CURSO PUENTE),86.67,96.3
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION,55.55,70.53
GRADO EN CIENCIAS POLITICAS Y DE LA ADMINISTRACION Y DERECHO,69.4,81.45
GRADO EN SOCIOLOGIA,66.78,78.55
GRADO EN INGENIERIA QUIMICA,53.85,65.99
GRADO EN INGENIERIA DE TECNOLOGIAS DE TELECOMUNICACION,66.9,75.88
GRADO EN MEDICINA,92.48,95.87
GRADO EN ESTADISTICA,43.33,59
GRADO EN COMUNICACION AUDIOVISUAL,94.48,97.48
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS Y DERECHO,81.67,87.95
GRADO EN INGENIERIA DE EDIFICACION,57.23,74.51
GRADO EN INFORMACION Y DOCUMENTACION,72.7,80.98
GRADO EN FINANZAS Y CONTABILIDAD,73.18,79.64
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS,75.64,82.58
GRADO EN MARKETING E INVESTIGACION DE MERCADOS,66.03,73.47
GRADO EN INGENIERIA CIVIL,55.76,71.17
GRADO EN TURISMO,79.86,86.68
GRADO EN ECONOMIA,61,71.19
GRADO EN FISIOTERAPIA,88.85,94.98
GRADO EN DERECHO,63.67,74.43
GRADO EN TERAPIA OCUPACIONAL,88.52,94.62
GRADO EN EDUCACION SOCIAL,93.58,96.74
GRADO EN TRABAJO SOCIAL,91.2,95.06
GRADO EN TRADUCCION E INTERPRETACION,85.5,92.65
GRADO EN MAESTRO DE EDUCACION PRIMARIA (BILINGÜE),85.92,89.7
GRADO EN MAESTRO EN EDUCACION PRIMARIA,87.24,91.85
GRADO EN MAESTRO DE EDUCACION INFANTIL,94.33,97.07
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS,64.36,76.63
GRADO EN BELLAS ARTES,87.01,94.9
GRADO EN BIOQUIMICA,86.33,90.24
GRADO EN FILOSOFIA,54.93,79.98
GRADO EN PSICOLOGIA,81.9,88.76
GRADO EN CONSERVACION Y RESTAURACION DE BIENES CULTURALES,84.54,93.57
GRADO EN FISICA,49.06,69.54
GRADO EN GEOLOGIA,53.42,66.83
GRADO EN MATEMATICAS,57.49,70.75
GRADO EN LENGUAS MODERNAS Y SUS LITERATURAS,80.13,89.32
GRADO EN FILOLOGIA CLASICA,63.13,75.4
GRADO EN ESTUDIOS FRANCESES,65.04,75.72
GRADO EN ESTUDIOS ARABES E ISLAMICOS,57.94,81.47
GRADO EN FILOLOGIA HISPANICA,82.82,90.8
GRADO EN ESTUDIOS INGLESES,72.42,81.95
GRADO EN LOGOPEDIA,86.83,91.6
GRADO EN OPTICA Y OPTOMETRIA,63.69,70.75
GRADO EN CIENCIAS DE LA ACTIVIDAD FISICA Y DEL DEPORTE,88.21,92.48
GRADO EN LITERATURAS COMPARADAS,71.43,88.04
GRADO EN QUIMICA,53.72,70.4
GRADO EN HISTORIA,63.6,80.37
GRADO EN HISTORIA DEL ARTE,63.27,77.31
GRADO EN ANTROPOLOGIA SOCIAL Y CULTURAL,75.09,84.83
GRADO EN INGENIERIA INFORMATICA,38.01,54.58
GRADO EN ING. INFORMATICA Y MATEMATICAS,49.11,61.54
GRADO EN PEDAGOGIA,85.91,91.24
GRADO EN HISTORIA Y CIENCIAS DE LA MUSICA,62.92,79.29
GRADO EN ENFERMERIA (CEUTA),72.61,78.77
GRADO EN EDUCACION SOCIAL (CEUTA),76.2,88.46
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (CEUTA),72.15,84.07
GRADO EN MAESTRO EN EDUCACION PRIMARIA (CEUTA),66.96,77.05
GRADO EN MAESTRO DE EDUCACION INFANTIL (CEUTA),78.69,85.88
GRADO EN INGENIERIA INFORMATICA (CEUTA),46.1,65.14
GRADO EN ENFERMERIA (MELILLA),85.37,87.65
GRADO EN EDUCACION SOCIAL (MELILLA),76.32,85.35
GRADO EN ADMINISTRACION Y DIRECCION DE EMPRESAS (MELILLA),50.32,75.34
"DIPLOMADO EN CIENCIAS EMPRESARIALES ""MELILLA""",52.27,81.4
"DIPLOMADO EN RELACIONES LABORALES ""MELILLA""",47.63,83.57
"DIPLOMADO EN GESTION Y ADMINISTRACION PUBLICA ""MELILLA""",56.49,87.27
GRADO EN GESTION Y ADMINISTRACION PUBLICA (MELILLA),64.17,77
GRADO EN MAESTRO EN EDUCACION PRIMARIA (MELILLA),68.87,78.56
GRADO EN MAESTRO DE EDUCACION INFANTIL (MELILLA),77.32,84.41
GRADO EN RELACIONES LABORALES Y RECURSOS HUMANOS (MELILLA),64.97,82.73
