CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1248 , , , , , 
SEGUNDO , 3119 , 862 , , , , 
TERCERO , 2809 , 4425 , 2035 , , , 
CUARTO , 367 , 808 , 1396 , 846 , , 
QUINTO , 649 , 768 , 1645 , 3590 , 1433 , 
SEXTO , 3 , 30 , 35 , 51 , 88 , 19 
