EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 482 , 753 , 1235 
18 , 2288 , 3257 , 5545 
19 , 2831 , 4298 , 7129 
20 , 3148 , 4491 , 7639 
21 , 3235 , 4455 , 7690 
22 , 2953 , 4025 , 6978 
23 , 2400 , 3005 , 5405 
24 , 1889 , 2198 , 4087 
25 , 1438 , 1544 , 2982 
26 , 1096 , 1044 , 2140 
27 , 782 , 734 , 1516 
28 , 568 , 510 , 1078 
29 , 422 , 419 , 841 
(Y MAS) 30 , 2016 , 2001 , 4017 
TOTALES , 25548 , 32734 , 58282 
MAYORES 28 , 3006 , 2930 , 5936 
