, VARONES, , MUJERES, , TOTALES, 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4549,627 , 5613,621 , 10162,1248 
SEGUNDO , 3857,1698 , 5378,2283 , 9235,3981 
TERCERO , 3249,3346 , 4671,3643 , 7920,6989 
CUARTO , 2263,1060 , 3202,1399 , 5465,2459 
QUINTO , 2083,2669 , 2986,2770 , 5069,5439 
SEXTO , 69,78 , 124,44 , 193,122 
