CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5176 , 6234 , 11410 
SEGUNDO , 5555 , 7661 , 13216 
TERCERO , 6595 , 8314 , 14909 
CUARTO , 3323 , 4601 , 7924 
QUINTO , 4752 , 5756 , 10508 
SEXTO , 147 , 168 , 315 
