CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 5414 , 6751 , 12165 
SEGUNDO , 4906 , 6766 , 11672 
TERCERO , 5756 , 7167 , 12923 
CUARTO , 3938 , 5026 , 8964 
QUINTO , 4468 , 5095 , 9563 
SEXTO , 164 , 200 , 364 
