CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 1355 , , , , , 
SEGUNDO , 2845 , 748 , , , , 
TERCERO , 3584 , 4332 , 1508 , , , 
CUARTO , 1752 , 1796 , 2751 , 999 , , 
QUINTO , 1796 , 1523 , 2830 , 4144 , 1084 , 
SEXTO , 8 , 28 , 36 , 58 , 66 , 53 
