CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 5414 , , , , , 
SEGUNDO , 4057 , 849 , , , , 
TERCERO , 3631 , 4231 , 966 , , , 
CUARTO , 1891 , 1779 , 2498 , 747 , , 
QUINTO , 1591 , 1357 , 2162 , 3288 , 713 , 
SEXTO , 10 , 23 , 28 , 72 , 86 , 59 
