TIPO DE BECA , ALUMNOS 
MEC. RÉGIMEN GENERAL , 10542 
MIN. TRABAJO ASUNTOS SOCIALES , 14 
MINISTERIO ASUNTOS EXTERIORES , 57 
SIN ESPECIFICAR , 857 
GOBIERNO VASCO , 8 
SÓCRATES ERASMUS (Europa Occ) , 1680 
SÍCUE SÉNECA (Nacional) , 263 
LIBRE INTERCAMBIO (Internac.) , 4 
CONV. BILATERALES (Internac.) , 26 
MARRUECOS , 58 
TOTAL BECARIOS , 13509 
