del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 661 , , , , , 
SEGUNDO , 1389 , 304 , , , , 
TERCERO , 1755 , 2141 , 673 , , , 
CUARTO , 801 , 828 , 1194 , 449 , , 
QUINTO , 791 , 728 , 1301 , 1949 , 559 , 
SEXTO , 5 , 15 , 17 , 30 , 34 , 18 
