"Retribuciones PAS FUNCIONARIO Año 2010 (Desde 1/6 a 31/12)",,,,,,
GRUPO,"SUELDO MENSUAL","TRIENIO MENSUAL",,"P.EXTRA DIC/10    ",,
,,,,SUELDO,TRIENIOS,
"A (A1)","1,"109,05"","42,65",,"623,62","23,98",
"B (A2)","958,98","34,77",,"662,32","24,02",
(B),"838,27","30,52",,"708,25","25,79",
"C (C1)","720,02","26,31",,"608,34","22,23",
"D (C2)","599,25","17,90",,"592,95","17,71",
E,"548,47","13,47",,"548,47","13,47",
,,,,,,
NIVEL,"C.D. MENSUAL","C.D. ANUAL",,,,
,,,,,,"30,00","968,75","11,"625,00"",,,,"29,00","868,93","10,"427,16"",,,,"28,00","832,40","9,"988,80"",,,,"27,00","795,85","9,"550,20"",,,,"26,00","698,20","8,"378,40"",,,,"25,00","619,47","7,"433,64"",,,,"24,00","582,92","6,"995,04"",,,,"23,00","546,41","6,"556,92"",,,,"22,00","509,84","6,"118,08"",,,,"21,00","473,35","5,"680,20"",,,,"20,00","439,70","5,"276,40"",,,,"19,00","417,25","5,"007,00"",,,,"18,00","394,79","4,"737,48"",,,,"17,00","372,33","4,"467,96"",,,,"16,00","349,93","4,"199,16"",,,,"15,00","327,44","3,"929,28"",,,,
,,,,,,
TIPO,"C.E. MENSUAL","C.E. ANUAL","P ADICIONAL",,,
,,,,,,
Gerente,"3,"688,28"","44,"259,36"","3,"688,28"",,,
L.D.(29),"1,"718,84"","20,"626,08"","1,"718,84"",,,
2A,"1,"094,52"","13,"134,24"","1,"094,52"",,,
3A,"875,63","10,"507,56"","875,63",,,
4A,"665,85","7,"990,20"","665,85",,,
5A,"552,74","6,"632,88"","552,74",,,
6A,"456,05","5,"472,60"","456,05",,,
7A,"437,81","5,"253,72"","437,81",,,
8A,"346,64","4,"196,02"","346,64",,,
"PB Gestion","608,10","7,"297,20"","608,10",,,
,,,,,,
