, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 4753,661 , 6057,694 , 10810,1355 
SEGUNDO , 3213,1693 , 4866,1900 , 8079,3593 
TERCERO , 2694,3062 , 3838,3329 , 6532,6391 
CUARTO , 2037,1901 , 2625,2401 , 4662,4302 
QUINTO , 1696,2772 , 2046,3049 , 3742,5821 
SEXTO , 103,61 , 124,76 , 227,137 
