NACIONALIDAD , VARONES , MUJERES , TOTALES 
AFGANISTÁN , 1 , 0 , 1 
ALEMANIA , 292 , 46 , 338 
ANDORRA , 0 , 4 , 4 
ANGOLA , 2 , 0 , 2 
ARGELIA , 2 , 1 , 3 
ARGENTINA , 10 , 19 , 29 
ARMENIA , 1 , 0 , 1 
AUSTRALIA , 2 , 0 , 2 
AUSTRIA , 34 , 9 , 43 
BIELORUSIA , 2 , 3 , 5 
BOLIVIA , 0 , 3 , 3 
BOSNIA HERZEGOVINA , 0 , 1 , 1 
BRASIL , 7 , 8 , 15 
BULGARIA , 8 , 4 , 12 
BURUNDI , 1 , 0 , 1 
BÉLGICA , 97 , 16 , 113 
CAMERÚN , 0 , 1 , 1 
CANADÁ , 3 , 19 , 22 
CHECOSLOVAQUIA , 1 , 1 , 2 CHILE , 3 , 7 , 10 
CHINA (REP. POPULAR) , 5 , 3 , 8 
CHIPRE , 6 , 0 , 6 
COLOMBIA , 6 , 8 , 14 
COREA DEL SUR , 0 , 3 , 3 
COSTA RICA , 1 , 0 , 1 
CUBA , 0 , 5 , 5 
DESCONOCIDO , 2 , 1 , 3 
DINAMARCA , 28 , 4 , 32 
DOMINICA , 1 , 0 , 1 
ECUADOR , 5 , 0 , 5 
EE. UU. DE AMERICA , 15 , 115 , 130 
EGIPTO , 2 , 6 , 8 
EL SALVADOR , 1 , 0 , 1 
ESLOVAQUIA , 9 , 11 , 20 
ESLOVENIA , 3 , 1 , 4 
ESPAÑA , 22432 , 29523 , 51955 
ESTONIA , 10 , 6 , 16 
ETIOPÍA , 1 , 2 , 3 
FIDJI , 1 , 4 , 5 
FILIPINAS , 0 , 2 , 2 
FINLANDIA , 38 , 6 , 44 
FRANCIA , 289 , 65 , 354 
GRECIA , 32 , 6 , 38 
GUAY.HOLAND.(SURINAM , 1 , 0 , 1 
GUINEA (REPUBLICA) , 1 , 0 , 1 
GUINEA ECUATORIAL , 3 , 1 , 4 
HOLANDA (PAISES BAJO , 38 , 13 , 51 
HONDURAS , 1 , 1 , 2 
HUNGRIA , 7 , 2 , 9 
IRAK , 0 , 2 , 2 
IRLANDA (EIRE) , 25 , 6 , 31 
IRÁN , 1 , 2 , 3 
ISRAEL , 2 , 0 , 2 
ITALIA , 332 , 22 , 354 
JAMAICA , 0 , 1 , 1 
JAPÓN , 1 , 4 , 5 
JERUSALEM , 1 , 0 , 1 
JORDANIA , 2 , 0 , 2 
KENIA , 0 , 1 , 1 
LITUANIA , 0 , 1 , 1 
LUXEMBURGO , 3 , 0 , 3 
LÍBANO , 4 , 1 , 5 
MALDIVAS , 0 , 1 , 1 
MALTA , 0 , 1 , 1 
OTRAS o SIN ESPECIFI , 871 , 1033 , 1904 
