del , con asignaturas de 
CURSO , PRIMERO , SEGUNDO , TERCERO , CUARTO , QUINTO , SEXTO 
PRIMERO , 694 , , , , , 
SEGUNDO , 1456 , 444 , , , , 
TERCERO , 1829 , 2191 , 835 , , , 
CUARTO , 951 , 968 , 1557 , 550 , , 
QUINTO , 1005 , 795 , 1529 , 2195 , 525 , 
SEXTO , 3 , 13 , 19 , 28 , 32 , 35 
