EDADES , VARONES , MUJERES , TOTALES 
(HASTA) 17 , 477 , 777 , 1254 
18 , 1967 , 3285 , 5252 
19 , 2305 , 3786 , 6091 
20 , 2606 , 3994 , 6600 
21 , 2810 , 3826 , 6636 
22 , 2912 , 3405 , 6317 
23 , 2572 , 2949 , 5521 
24 , 2062 , 2198 , 4260 
25 , 1634 , 1673 , 3307 
26 , 1167 , 1148 , 2315 
27 , 888 , 851 , 1739 
28 , 652 , 580 , 1232 
29 , 457 , 465 , 922 
(Y MAS) 30 , 2137 , 2068 , 4205 
TOTALES , 24646 , 31005 , 55651 
MAYORES 28 , 3246 , 3113 , 6359 
