"UNIVERSIDAD DE GRANADA","Nº MEDIO DE CRÉDITOS MATRICULADOS","Nº MEDIO DE CRÉDITOS PRESENTADOS","Nº MEDIO DE CRÉDITOS SUPERADOS"
"ARTES Y HUMANIDADES","58,28","51,98","46,48 "
"CIENCIAS","58,06","51,63","41,79 "
"CIENCIAS DE LA SALUD","59,02","56,26","51,53 "
"CIENCIAS SOCIALES Y JURÍDICAS","58,81","53,82","47,23 "
"INGENIERÍA Y ARQUITECTURA","53,62","45,70","35,23 "
"TODAS LAS RAMAS","57,63","52,14","44,90"
