"Másteres Propios","Rama de conocimiento","Centro","Campus"
"MÁSTER PROPIO VIRTUAL EN PRODUCTOS SANITARIOS (4ª Edición)","CIENCIAS DE LA SALUD","VIRTUAL",""
"MÁSTER PROPIO PARA LA FORMACIÓN DE PROFESORADO DE ESPAÑOL COMO LENGUA EXTRANJERA (11ª Edición)","ARTES Y HUMANIDADES","FACULTAD DE FILOSOFÍA Y LETRAS","CARTUJA"
"MÁSTER PROPIO EN DERECHO PENAL ECONÓMICO INTERNACIONAL (8ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","CURSO ON-LINE EN EL CAMPUS VIRTUAL UGR-IAEU",""
"MÁSTER PROPIO EN DERECHO PENAL INTERNACIONAL (16ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","CURSO ON-LINE EN EL CAMPUS VIRTUAL UGR-IAEU",""
"MÁSTER PROPIO EN ESTUDIOS ESTRATÉGICOS Y SEGURIDAD INTERNACIONAL (3ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","VIRTUAL",""
"MÁSTER PROPIO EN CIRUGÍA BUCAL E IMPLANTOLOGÍA (10ª Edición)","CIENCIAS DE LA SALUD","FACULTAD DE ODONTOLOGÍA","CARTUJA"
"MÁSTER PROPIO EN NUTRICIÓN CLÍNICA (1ª Edición)","CIENCIAS DE LA SALUD","VIRTUAL",""
"MÁSTER PROPIO EN MARKETING ONLINE Y ESTRATEGIAS EN SOCIAL MEDIA (1ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
"MÁSTER PROPIO EN ENTRENAMIENTO PERSONAL (4ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DEL DEPORTE","CARTUJA"
"MÁSTER PROPIO EN MUSEOLOGÍA (8ª Edición)","ARTES Y HUMANIDADES","FACULTAD DE BELLAS ARTES","AYNADAMAR"
"MÁSTER PROPIO EN MEDIACIÓN (6ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
"MÁSTER PROPIO ANDALUZ INTERUNIVERSITARIO EN GESTIÓN Y DIRECCIÓN DEPORTIVA (7ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","FACULTAD DE CIENCIAS DEL DEPORTE","CARTUJA"
"MÁSTER PROPIO EN TEORÍA Y PRÁCTICA DEL PROTOCOLO Y LAS RELACIONES INSTITUCIONALES EN LAS ORGANIZACIONES NACIONALES E INTERNACIONALES (7ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
"MÁSTER PROPIO EN DERECHO DE LA SEGURIDAD SOCIAL (1ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
"MASTER PROPIO EN SALUD PÚBLICA Y GESTIÓN SANITARIA (30ª Edición)","CIENCIAS DE LA SALUD","ESCUELA ANDALUZA DE SALUD PÚBLICA Y CAMPUS VIRTUAL EASP",""
"MÁSTER PROPIO EN ATENCIÓN TEMPRANA (1ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","CENTRO HOSPITALARIO UNIVERSITARIO SAN RAFAEL",""
"TEORÍA Y PRÁCTICA DEL PROTOCOLO Y LAS RELACIONES INSTITUCIONALES EN LAS ORGANIZACIONES NACIONALES E INTERNACIONALES (7ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
"MÁSTER PROPIO EN GESTIÓN DE EVENTOS Y COMUNICACIÓN CORPORATIVA (5ª Edición)","CIENCIAS SOCIALES Y JURÍDICAS","AULARIO DE LA FACULTAD DE DERECHO","CENTRO"
