CURSO , VARONES , MUJERES , TOTALES 
PRIMERO , 4677 , 5887 , 10564 
SEGUNDO , 5737 , 8075 , 13812 
TERCERO , 6934 , 8968 , 15902 
CUARTO , 3294 , 4928 , 8222 
QUINTO , 4812 , 5295 , 10107 
SEXTO , 136 , 177 , 313 
