, VARONES, , MUJERES, , TOTALES 
CURSO , NOREP, REPET , NOREP, REPET , NOREP, REPET 
PRIMERO , 3971,706 , 5193,694 , 9164,1400 
SEGUNDO , 3932,1805 , 5655,2420 , 9587,4225 
TERCERO , 3623,3311 , 5501,3467 , 9124,6778 
CUARTO , 2096,1198 , 3122,1806 , 5218,3004 
QUINTO , 2000,2812 , 2463,2832 , 4463,5644 
SEXTO , 72,64 , 127,50 , 199,114 
